tweet_id,text,Odio
1399516036240662528,"En una amistad o soy tipo: 
Lo peor es que siempre es así lskdkdnff https://t.co/813bPNQZqR",0
1320788179721560065,QUIEN FUE LA MARACA CULIA TE VOY A MATAR PERRA DE MIERDVA,1
1079889645280944129,menos mal q se recibe el año con ropa blanca jajajajjajajajajja siempre d negro 🤞🏼🤞🏼🤞🏼🤞🏼,0
1369254390134145033,Cuantos INFILTRADOS extranjeros hay ahi😡 https://t.co/JtJixcR5kK,1
1533854824378290176,"#ENCONTRADO #GUAYAQUIL
Fecha: 06/06/22
Sector: Norte, Autopista, a la altura del puente que une Samborondon con Sauces
Sexo: Macho.
Raza: Doberman Pinscher.
Obsv.: Negro con beige.
Contacto: 0967948036
¡Ayúdalo volver con su familia!
#AlertaMePerdí https://t.co/D3IHyKxUCU",0
1233127781707333632,Ana Maraca culia #Los80,1
1236449069129760769,Veneco por retrazo de maton. https://t.co/8jTzJTxzNc,1
1533855732193452033,"@dazaitloml lo tenía, pero me obligaron a volver al negro",0
1528017777025437696,"MUY LAMENTABLE SR MINISTRO , PERO MIENTRAS MAS INMIGRANTES ILEGALES HAY , MAS FRECUENTE SERAN ESTAS NOTICIAS . DEJEN DE IMPORTAR MISERIA . CIERREN LAS FRONTERAS ! #NoEsInmigracionEsInvasion  @carlosmontestwt https://t.co/fp0qZVINUT",1
1079889829779910656,@MrElDiablo8 Un angelito ya está con dios😢.........jajajajaj que se pudra en el infierno el hijo de la gran puta.,1
1465832990265810946,@marioherzam @PEDCAS Locas suena como divertido. Mejor así: Las desequilibradas y nefastas propuestas de Aureliano para el país. @petrogustavo,0
1323477910922186757,@NayNgc Matate feminazi,1
1533854731495346177,"@CNNChile @tv_monica Porque??? Tan enojada señora si usted si usted válido toda la violencia el 18O aplaudía como loca a los 🐒 su hermano es un maltratador usted apoyo a un acosador que ahora es presidente 🙄 ummm o sea la guillotina
#CademSeVendio 
#RechazoEl4deSeptiembre",0
1152013680294289409,@estoesguerra_tv @AmericaTVGO Que suspenda al nauseabundo chileno....asqueroso tenerlo en la tv nacional...usa elevador en las zapatillas para verse más alto... mapuche HDP... rodríguez.....,1
1528570167290109954,"Puto Curry macho, imparable",0
1353112424753278983,Peruano culiao,1
1158591162833428480,"@FabiParraguezM @Retro_Arg @TV_Publica y vos te quedaste sin cirugía mapuche mal hecho sos feo ,indio jaja, tenes las mismas copas de Bolivia  horrible ,ojala se los lleve el mar .",1
1533854186030374913,"@Observer_fb @17FernandoRojas @BlazquezFont @diarioas Si te crees, que florentino, estuvo cerca de los 660 millones que le ha dado el psg al mbappe ,es que no tienes ni puta idea de como esta realmente el barça xD",1
1528570038281818114,"@DavidOc26627032 @catrina_nortena No le deseo mal a nadie. 
Pero a este si me gustaría verlo tras las rejas. No por ser del PRI. Porque ese partido ya valió queso. 
Sino por #TRAIDORES_A_LA_PATRIA al votar en contra de la reforma eléctrica. 
Esa si que no se la perdona el pueblo de México...
@alitomorenoc",0
1540842005449809924,"@ProfMarcoAvila @_isabelamor @IraciHassler https://t.co/iewzxsurF6 SI ESTUVIERA ALLENDE GOBERNANDO , NINGUNA DE ESTAS MARCHITAS SE REALIZARÍAN .AVÍNSENLE A @gabrielboric Q ALLENDE ERA CONTRARIO A ESTAS DESVIACIONES.",1
1533856337829953541,"@PilarAsdasd Esto es como lo de necesitar experiencia en trabajos pero no tenerla porque nunca te dan trabajo por no tener experiencia previa.
Si es mi primera puta compra en el sitio como cojones quieres que tenga opiniones, hijo de mi vida. Diselo asi directamente.",0
1298099881001844738,#HuelgaDeHambreMV MAPUCHES CULIAOS LOS ODIO OJALA LOS MATEN A TODOS,1
1523850593466413056,"En los seres humanos todo se reduce a cromosomas. Si usted es XX, es una mujer. Si usted es XY, es un hombre. Fin",1
1533855486184939520,Policía muy presta para detener a manifestante trans contra la candidatura de Rodolfo. Ojalá así mismo de eficientes fueran para garantizar la libre expresión de las ciudadanías inconformes. https://t.co/aQfDoRb5oC,1
1528569996246384640,@17TITULOSDELIGA @MarcaClaro @FOXSportsMX @TUDNMEX @Sbanos @eazcarraga Ese hijo de su puta madre de baños es el primero que se tiene que ir a chingar a su puta madre,1
1533856100679880706,pUTA SE CAE EL CIELO,0
1528570152366665730,"@marianocabj83 @Pableto91 @Nicoovendemia @escobasybidones Pero vos q te pensas pedazo de pelotudo, que el bilardismo es azar y q salga lo q salga? El bilardismo es trabajo, esfuerzo, dedicación y conocimiento absoluto de lo q sea,la meritocracia es la forma lograr mediante el esfuerzo y trabajo un objetivo,boca es azar puro,una mentira",0
1299337584204709889,@INFORMADORCHILE Estos mapuches de mierda quieren destruir todo!!,1
1251758531906277377,@DavidJavier2000 @slyber_isabella Te haz visto la cara de guarén que te gastai? Yo creo que ni los fletos te dan la hora de lo rancio y penca que eres... de seguro hasta tu mano le debe dar asco del iñi piñi que tienes entre tus bolas tristes.... si es que le alcanza porque lo debes tener del porte de un clip 🤣,1
1523844034430599170,@198Nataly @carolinawagner_ @emischneiderv Y se refiere a trans... que onda... no sé si es pendejito y trata de incomodar a alguien o solo aweonao. Los trans no tienen regla... aunque le duela. 😉,1
